"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test collateralPercentage guardrail using plutus script constitution.

        ""23"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 100,
                ""$comment"": ""collateralPercentage must not be lower than 100""
            },
            {
                ""maxValue"": 200,
                ""$comment"": ""collateralPercentage must not exceed 200""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""collateralPercentage must not be negative""
            },
            {
                ""notEqual"": 0,
                ""$comment"": ""collateralPercentage must not be zero""
            }
            ],
            ""$comment"": ""collateralPercentage""
        },
        ","43932","test_guardrail_collateral_percentage","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:07:43 EDT 2024","passed","Tue Jul 16 19:08:26 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test maxCollateralInputs guardrail using plutus script constitution.

        ""24"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 1,
                ""$comment"": ""maxCollateralInputs must not be reduced below 1""
            }
            ],
            ""$comment"": ""maxCollateralInputs""
        },
        ","30015","test_guardrail_max_collateral_inputs","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:08:27 EDT 2024","passed","Tue Jul 16 19:08:57 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test txFeeFixed guardrail using plutus script constitution.

        ""1"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 100000,
                ""$comment"": ""txFeeFixed must not be lower than 100,000 (0.1 ada)""
            },
            {
                ""maxValue"": 10000000,
                ""$comment"": ""txFeeFixed must not exceed 10,000,000 (10 ada)""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""txFeeFixed must not be negative""
            }
            ],
            ""$comment"": ""txFeeFixed""
        }
        ","24747","test_guardrail_tx_fee_fixed","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:01:48 EDT 2024","passed","Tue Jul 16 19:02:12 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test setting of `maxTxSize`.
        ""3"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 32768,
                ""$comment"": ""maxTxSize must not exceed 32,768 Bytes (32KB)""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""maxTxSize must not be negative""
            }
            ],
            ""$comment"": ""maxTxSize""
        },
        ","35227","test_guardrail_max_tx_size","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:16:59 EDT 2024","passed","Tue Jul 16 19:17:34 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test setting of `stakePoolTargetNum`.
        ""8"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 250,
                ""$comment"": ""stakePoolTargetNum must not be lower than 250""
            },
            {
                ""maxValue"": 2000,
                ""$comment"": ""stakePoolTargetNum must not be set above 2,000""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""stakePoolTargetNum must not be negative""
            },
            {
                ""notEqual"": 0,
                ""$comment"": ""stakePoolTargetNum must not be zero""
            }
            ],
            ""$comment"": ""stakePoolTargetNum""
        },
        ","25084","test_guardrail_stake_pool_target_num","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:21:30 EDT 2024","passed","Tue Jul 16 19:21:55 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        ""18"": {
            ""type"": ""any"",
            ""$comment"": ""costmodels for all plutus versions""
            }
        }
        ","49599","test_guardrail_cost_models","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:22:32 EDT 2024","passed","Tue Jul 16 19:23:21 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test setting of `poolRetireMaxEpoch`.
        ""7"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 0,
                ""$comment"": ""poolRetireMaxEpoch must not be negative""
            }
            ],
            ""$comment"": ""poolRetireMaxEpoch""
        },
        ","17209","test_guardrail_pool_retire_max_epoch","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:21:12 EDT 2024","passed","Tue Jul 16 19:21:29 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
          Test poolVotingThresholds motionNoConfidence guardrail using plutus script constitution.

          ""25[0]"": {
              ""type"": ""unit_interval"",
              ""predicates"": [
              {
                  ""minValue"": { ""numerator"": 50, ""denominator"": 100 },
                  ""$comment"": ""All thresholds must be in the range 50%-100%""
              },
              {
                  ""maxValue"": { ""numerator"": 100, ""denominator"": 100 },
                  ""$comment"": ""All thresholds must be in the range 50%-100%""
              },
              {
                  ""minValue"": { ""numerator"": 51, ""denominator"": 100 },
                  ""$comment"": ""No confidence action thresholds must be in the range 51%-75%""
              },
              {
                  ""maxValue"": { ""numerator"": 75, ""denominator"": 100 },
                  ""$comment"": ""No confidence action thresholds must be in the range 51%-75%""
              }
              ],
              ""$comment"": ""poolVotingThresholds[motionNoConfidence]""
          },

          ""25[1]"": {
              ""type"": ""unit_interval"",
              ""predicates"": [
              {
                  ""minValue"": { ""numerator"": 50, ""denominator"": 100 },
                  ""$comment"": ""All thresholds must be in the range 50%-100%""
              },
              {
                  ""maxValue"": { ""numerator"": 100, ""denominator"": 100 },
                  ""$comment"": ""All thresholds must be in the range 50%-100%""
              },
              {
                  ""minValue"": { ""numerator"": 65, ""denominator"": 100 },
                  ""$comment"": ""Update Constitutional committee action thresholds must be in the range 65%-90%""
              },
              {
                  ""maxValue"": { ""numerator"": 90, ""denominator"": 100 },
                  ""$comment"": ""Update Constitutional committee action thresholds must be in the range 65%-90%""
              }
              ],
              ""$comment"": ""poolVotingThresholds[committeeNormal]""
          },


        ""25[2]"": {
          ""type"": ""unit_interval"",
          ""predicates"": [
            {
              ""minValue"": { ""numerator"": 50, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            },
            {
              ""maxValue"": { ""numerator"": 100, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            },
            {
              ""minValue"": { ""numerator"": 65, ""denominator"": 100 },
              ""$comment"": ""Update Constitutional committee action thresholds must be in the range 65%-90%""
            },
            {
              ""maxValue"": { ""numerator"": 90, ""denominator"": 100 },
              ""$comment"": ""Update Constitutional committee action thresholds must be in the range 65%-90%""
            }
          ],
          ""$comment"": ""poolVotingThresholds[committeeNoConfidence]""
        },

        ""25[3]"": {
          ""type"": ""unit_interval"",
          ""predicates"": [
            {
              ""minValue"": { ""numerator"": 50, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            },
            {
              ""maxValue"": { ""numerator"": 100, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            },
            {
              ""minValue"": { ""numerator"": 51, ""denominator"": 100 },
              ""$comment"": ""Hard fork action thresholds must be in the range 51%-80%""
            },
            {
              ""maxValue"": { ""numerator"": 80, ""denominator"": 100 },
              ""$comment"": ""Hard fork action thresholds must be in the range 51%-80%""
            }
          ],
          ""$comment"": ""poolVotingThresholds[hardForkInitiation]""
        },

        ""25[4]"": {
          ""type"": ""unit_interval"",
          ""predicates"": [
            {
              ""minValue"": { ""numerator"": 50, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            },
            {
              ""maxValue"": { ""numerator"": 100, ""denominator"": 100 },
              ""$comment"": ""All thresholds must be in the range 50%-100%""
            }
          ],
          ""$comment"": ""poolVotingThresholds[ppSecurityGroup]""
        }
        ","114730","test_guardrail_pool_voting_thresholds","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:08:57 EDT 2024","passed","Tue Jul 16 19:10:52 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test utxoCostPerByte guardrail using plutus script constitution.

        ""17"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 3000,
                ""$comment"": ""utxoCostPerByte must not be lower than 3,000  (0.003 ada)""
            },
            {
                ""maxValue"": 6500,
                ""$comment"": ""utxoCostPerByte must not exceed 6,500 (0.0065 ada)""
            },
            {
                ""notEqual"": 0,
                ""$comment"": ""utxoCostPerByte must not be zero""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""utxoCostPerByte must not be negative""
            }
            ],
            ""$comment"": ""utxoCostPerByte""
        }
        ","24125","test_guardrail_utxo_cost_per_byte","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:04:26 EDT 2024","passed","Tue Jul 16 19:04:50 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test setting of `stakeAddressDeposit`.
        ""5"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 1000000,
                ""$comment"": ""stakeAddressDeposit must not be lower than 1,000,000 (1 ada)""
            },
            {
                ""maxValue"": 5000000,
                ""$comment"": ""stakeAddressDeposit must not exceed 5,000,000 (5 ada)""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""stakeAddressDeposit must not be negative""
            }
            ],
            ""$comment"": ""stakeAddressDeposit""
        },
        ","26275","test_guardrail_stake_address_deposit","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:20:24 EDT 2024","passed","Tue Jul 16 19:20:50 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test monetaryExpansion guardrail using plutus script constitution.

        ""10"": {
            ""type"": ""unit_interval"",
            ""predicates"": [
            {
                ""maxValue"": { ""numerator"": 5, ""denominator"": 1000 },
                ""$comment"": ""monetaryExpansion must not exceed 0.005""
            },
            {
                ""minValue"": { ""numerator"": 1, ""denominator"": 1000 },
                ""$comment"": ""monetaryExpansion must not be lower than 0.001""
            },
            {
                ""minValue"": { ""numerator"": 0, ""denominator"": 1000 },
                ""$comment"": ""monetaryExpansion must not be negative""
            }
            ],
            ""$comment"": ""monetaryExpansion""
        }
        ","82897","test_guardrail_monetary_expansion","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:02:13 EDT 2024","passed","Tue Jul 16 19:03:36 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test maxValueSize guardrail using plutus script constitution.

        ""22"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 12288,
                ""$comment"": ""maxValueSize must not exceed 12,288 Bytes (12KB)""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""maxValueSize must not be negative""
            }
            ],
            ""$comment"": ""maxValueSize""
        },
        ","26318","test_guardrail_max_value_size","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:07:16 EDT 2024","passed","Tue Jul 16 19:07:42 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test executionUnitPrices guardrail using plutus script constitution.

        ""19[0]"": {
            ""type"": ""unit_interval"",
            ""predicates"": [
            {
                ""maxValue"": { ""numerator"": 2000, ""denominator"": 10000 },
                ""$comment"": ""executionUnitPrices[priceMemory] must not exceed 2,000 / 10,000""
            },
            {
                ""minValue"": { ""numerator"": 400, ""denominator"": 10000 },
                ""$comment"": ""executionUnitPrices[priceMemory] must not be lower than 400 / 10,000""
            }
            ],
            ""$comment"": ""executionUnitPrices[priceMemory]""
        }
        ""19[1]"": {
            ""type"": ""unit_interval"",
            ""predicates"": [
            {
                ""maxValue"": { ""numerator"": 2000, ""denominator"": 10000000 },
                ""$comment"": ""executionUnitPrices[priceSteps] must not exceed 2,000 / 10,000,000""
            },
            {
                ""minValue"": { ""numerator"": 500, ""denominator"": 10000000 },
                ""$comment"": ""executionUnitPrices[priceSteps] must not be lower than 500 / 10,000,000""
            }
            ],
            ""$comment"": ""executionUnitPrices[priceSteps]""
        },
        ","28377","test_guardrail_execution_unit_prices","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:04:51 EDT 2024","passed","Tue Jul 16 19:05:19 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test maxBlockBodySize guardrail using plutus script constitution.

        ""2"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 122880,
                ""$comment"": ""maxBlockBodySize must not exceed 122,880 Bytes (120KB)""
            },
            {
                ""minValue"": 24576,
                ""$comment"": ""maxBlockBodySize must not be lower than 24,576 Bytes (24KB)""
            }
            ],
            ""$comment"": ""maxBlockBodySize""
        },
        ","21124","test_guardrail_max_block_body_size","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:05:20 EDT 2024","passed","Tue Jul 16 19:05:41 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test maxTxExecutionUnits[memory] guardrail using plutus script constitution.

        ""20[0]"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 40000000,
                ""$comment"": ""maxTxExecutionUnits[memory] must not exceed 40,000,000 units""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""maxTxExecutionUnits[memory] must not be negative""
            }
            ],
            ""$comment"": ""maxTxExecutionUnits[memory]""
        },
        ""20[1]"": {
            ""type"": ""integer"",
            ""predicates"": [
              {
                ""maxValue"": 15000000000,
                ""$comment"": ""maxTxExecutionUnits[steps] must not exceed 15,000,000,000 (15Bn) units""
              },
              {
                ""minValue"": 0,
                ""$comment"": ""maxTxExecutionUnits[steps] must not be negative""
              }

            ],
            ""$comment"": ""maxTxExecutionUnits[steps]""
        },
        ","65782","test_guardrail_max_tx_execution_units","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:05:41 EDT 2024","passed","Tue Jul 16 19:06:47 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test maxBlockExecutionUnits guardrail using plutus script constitution.

        ""21[0]"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 120000000,
                ""$comment"": ""maxBlockExecutionUnits[memory] must not exceed 120,000,000 units""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""maxBlockExecutionUnits[memory] must not be negative""
            }
            ],
            ""$comment"": ""maxBlockExecutionUnits[memory]""
        },
        ""21[1]"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""maxValue"": 40000000000,
                ""$comment"": ""maxBlockExecutionUnits[steps] must not exceed 40,000,000,000 (40Bn) units""
            },
            {
                ""minValue"": 0,
                ""$comment"": ""maxBlockExecutionUnits[steps] must not be negative""
            }
            ],
            ""$comment"": ""maxBlockExecutionUnits[steps]""
        },
        ","28234","test_guardrail_max_block_execution_units","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:06:47 EDT 2024","passed","Tue Jul 16 19:07:15 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
"
        Test setting of `committeeMinSize`.
        ""27"": {
            ""type"": ""integer"",
            ""predicates"": [
            {
                ""minValue"": 0,
                ""$comment"": ""committeeMinSize must not be negative""
            },
            {
                ""minValue"": 3,
                ""$comment"": ""committeeMinSize must not be lower than 3""
            },
            {
                ""maxValue"": 10,
                ""$comment"": ""committeeMinSize must not exceed than 10""
            }
            ],
            ""$comment"": ""committeeMinSize""
        },
        ","30170","test_guardrail_committee_min_size","cardano_node_tests.tests.tests_conway","Tue Jul 16 19:14:30 EDT 2024","passed","Tue Jul 16 19:15:00 EDT 2024","TestGovernanceGuardrails","test_guardrails","",""
